,station_name,lat,lng,start_count,end_count
0,W 21 St & 6 Ave,40.742,-73.994,1885.0,1876.0
1,University Pl & E 14 St,40.735,-73.992,1636.0,1645.0
2,1 Ave & E 68 St,40.765,-73.958,1621.0,1671.0
3,E 17 St & Broadway,40.737,-73.99,1604.0,1632.0
4,Broadway & E 21 St,40.74,-73.99,1581.0,1627.0
5,West St & Chambers St,40.718,-74.013,1504.0,1504.0
6,Broadway & W 58 St,40.767,-73.982,1497.0,1450.0
7,6 Ave & W 33 St,40.749,-73.988,1470.0,1464.0
8,6 Ave & W 34 St,40.75,-73.988,1465.0,1367.0
9,E 33 St & 1 Ave,40.743,-73.974,1429.0,1423.0
10,W 31 St & 7 Ave,40.749,-73.992,1421.0,1448.0
11,Broadway & W 25 St,40.743,-73.989,1380.0,1398.0
12,8 Ave & W 33 St,40.752,-73.994,1356.0,1364.0
13,Broadway & E 14 St,40.735,-73.991,1340.0,1271.0
14,E 40 St & Park Ave,40.751,-73.978,1318.0,1308.0
15,Central Park S & 6 Ave,40.766,-73.976,1316.0,1340.0
16,W 41 St & 8 Ave,40.756,-73.99,1283.0,1272.0
17,11 Ave & W 41 St,40.76,-73.999,1275.0,1280.0
18,Lafayette St & E 8 St,40.73,-73.991,1254.0,1275.0
19,Cleveland Pl & Spring St,40.722,-73.997,1220.0,1230.0
20,8 Ave & W 38 St,40.755,-73.992,1219.0,1227.0
21,7 Ave & Central Park South,40.767,-73.979,1218.0,1236.0
22,10 Ave & W 28 St,40.751,-74.002,1193.0,1194.0
23,E 39 St & 2 Ave,40.748,-73.974,1188.0,1072.0
24,W 22 St & 10 Ave,40.747,-74.005,1166.0,1155.0
25,9 Ave & W 22 St,40.745,-74.002,1163.0,1245.0
26,W 27 St & 7 Ave,40.747,-73.994,1160.0,1181.0
27,8 Ave & W 31 St,40.751,-73.995,1146.0,1180.0
28,West St & Liberty St,40.711,-74.015,1127.0,1149.0
29,W 26 St & 8 Ave,40.747,-73.997,1121.0,1131.0
30,Clinton St & Grand St,40.716,-73.987,1120.0,1142.0
31,1 Ave & E 18 St,40.734,-73.981,1118.0,1098.0
32,W 43 St & 10 Ave,40.76,-73.995,1116.0,1089.0
33,W 24 St & 7 Ave,40.745,-73.995,1115.0,1125.0
34,Greenwich Ave & 8 Ave,40.739,-74.003,1115.0,1168.0
35,1 Ave & E 78 St,40.771,-73.954,1106.0,1100.0
36,8 Ave & W 16 St,40.741,-74.002,1090.0,1070.0
37,2 Ave & E 29 St,40.742,-73.978,1090.0,1060.0
38,Broadway & W 29 St,40.746,-73.989,1087.0,1081.0
39,Grand Army Plaza & Central Park S,40.764,-73.974,1083.0,1108.0
40,Central Park West & W 72 St,40.776,-73.976,1082.0,1082.0
41,12 Ave & W 40 St,40.761,-74.003,1080.0,1047.0
42,Carmine St & 6 Ave,40.73,-74.002,1078.0,1081.0
43,1 Ave & E 16 St,40.732,-73.982,1070.0,1051.0
44,Broadway & W 41 St,40.755,-73.987,1070.0,1075.0
45,8 Ave & W 49 St,40.762,-73.987,1061.0,962.0
46,Grand St & Elizabeth St,40.719,-73.996,1061.0,1094.0
47,Norfolk St & Broome St,40.717,-73.988,1056.0,1061.0
48,W 15 St & 6 Ave,40.738,-73.996,1048.0,1062.0
49,Amsterdam Ave & W 73 St,40.78,-73.981,1044.0,1042.0
50,1 Ave & E 62 St,40.761,-73.961,1036.0,1046.0
51,Christopher St & Greenwich St,40.733,-74.007,1031.0,1026.0
52,Pier 40 - Hudson River Park,40.728,-74.011,1025.0,1151.0
53,W 20 St & 10 Ave,40.746,-74.005,1019.0,1086.0
54,W 30 St & 10 Ave,40.753,-74.002,1003.0,1028.0
55,Lexington Ave & E 24 St,40.74,-73.984,1001.0,1011.0
56,Columbus Ave & W 72 St,40.777,-73.979,989.0,1002.0
57,E 31 St & 3 Ave,40.744,-73.98,986.0,987.0
58,Washington St & Gansevoort St,40.739,-74.008,978.0,973.0
59,E 15 St & 3 Ave,40.734,-73.987,976.0,965.0
60,W 4 St & 7 Ave S,40.734,-74.003,975.0,972.0
61,W 22 St & 8 Ave,40.745,-73.999,973.0,957.0
62,W 42 St & 6 Ave,40.755,-73.985,968.0,967.0
63,W 44 St & 11 Ave,40.762,-73.997,968.0,958.0
64,West End Ave & W 60 St,40.772,-73.99,957.0,965.0
65,9 Ave & W 45 St,40.76,-73.991,956.0,977.0
66,Ave A & E 14 St,40.73,-73.98,946.0,931.0
67,W 13 St & 5 Ave,40.735,-73.994,932.0,924.0
68,E 20 St & 2 Ave,40.736,-73.982,931.0,954.0
69,W 18 St & 6 Ave,40.74,-73.995,931.0,905.0
70,W 25 St & 6 Ave,40.744,-73.991,924.0,935.0
71,E 25 St & 2 Ave,40.739,-73.98,923.0,929.0
72,E 27 St & 1 Ave,40.739,-73.977,919.0,941.0
73,5 Ave & E 29 St,40.745,-73.987,915.0,877.0
74,E 10 St & Avenue A,40.727,-73.981,913.0,956.0
75,W 20 St & 7 Ave,40.742,-73.997,913.0,875.0
76,E 7 St & Avenue A,40.726,-73.984,912.0,899.0
77,Central Park West & W 68 St,40.773,-73.978,909.0,911.0
78,2 Ave & E 72 St,40.769,-73.958,908.0,887.0
79,E 16 St & 5 Ave,40.737,-73.992,897.0,889.0
80,Vesey Pl & River Terrace,40.715,-74.017,891.0,931.0
81,Canal St & Rutgers St,40.714,-73.99,889.0,881.0
82,Forsyth St\t& Grand St,40.718,-73.993,888.0,900.0
83,E 2 St & Avenue B,40.722,-73.984,882.0,849.0
84,E 32 St & Park Ave,40.746,-73.982,880.0,865.0
85,Broadway & W 56 St,40.765,-73.982,880.0,800.0
86,E 33 St & 5 Ave,40.748,-73.985,873.0,876.0
87,E 85 St & 3 Ave,40.778,-73.954,865.0,881.0
88,Amsterdam Ave & W 79 St,40.783,-73.979,852.0,839.0
89,W 29 St & 9 Ave,40.75,-73.998,852.0,850.0
90,E 1 St & 1 Ave,40.723,-73.989,847.0,858.0
91,E 47 St & Park Ave,40.755,-73.975,846.0,785.0
92,Cooper Square & Astor Pl,40.73,-73.991,840.0,846.0
93,E 72 St & York Ave,40.767,-73.953,839.0,848.0
94,W 16 St & The High Line,40.743,-74.007,839.0,855.0
95,5 Ave & E 78 St,40.776,-73.964,838.0,854.0
96,W 45 St & 8 Ave,40.759,-73.989,838.0,839.0
97,Henry St & Grand St,40.714,-73.981,835.0,837.0
98,E 11 St & 1 Ave,40.73,-73.984,834.0,833.0
99,Great Jones St,40.727,-73.994,832.0,833.0
100,Suffolk St & Stanton St,40.721,-73.985,831.0,844.0
101,E 23 St & 1 Ave,40.737,-73.978,829.0,838.0
102,Broadway & W 38 St,40.753,-73.987,826.0,828.0
103,Allen St & Rivington St,40.72,-73.99,822.0,828.0
104,W 20 St & 8 Ave,40.743,-74.0,821.0,811.0
105,Broadway\t& W 48 St,40.76,-73.985,820.0,838.0
106,Lafayette St & Jersey St,40.725,-73.996,812.0,822.0
107,Central Park West & W 85 St,40.785,-73.97,812.0,719.0
108,2 Ave & E 31 St,40.743,-73.977,812.0,814.0
109,W 54 St & 11 Ave,40.768,-73.993,811.0,731.0
110,W 63 St & Broadway,40.772,-73.983,811.0,840.0
111,Columbus Ave & W 95 St,40.792,-73.968,810.0,802.0
112,W 44 St & 5 Ave,40.755,-73.98,809.0,931.0
113,N 6 St & Bedford Ave,40.717,-73.959,802.0,810.0
114,1 Ave & E 6 St,40.726,-73.986,801.0,850.0
115,St Marks Pl & 2 Ave,40.728,-73.987,799.0,819.0
116,E 40 St & 5 Ave,40.752,-73.982,793.0,805.0
117,4 Ave & E 12 St,40.733,-73.99,792.0,821.0
118,S 4 St & Wythe Ave,40.713,-73.966,791.0,807.0
119,E 58 St & 3 Ave,40.761,-73.967,790.0,785.0
120,W 15 St & 7 Ave,40.739,-73.999,789.0,802.0
121,E 44 St & Lexington Ave,40.753,-73.975,789.0,796.0
122,Broadway & W 61 St,40.77,-73.982,789.0,753.0
123,E 2 St & Avenue C,40.721,-73.981,789.0,734.0
124,E 11 St & 3 Ave,40.731,-73.988,787.0,817.0
125,Washington Pl & Broadway,40.729,-73.994,784.0,816.0
126,E 74 St & 1 Ave,40.769,-73.955,784.0,791.0
127,E 20 St & FDR Dr,40.733,-73.976,781.0,781.0
128,E 2 St & Avenue A,40.723,-73.986,780.0,793.0
129,Centre St & Chambers St,40.713,-74.005,776.0,793.0
130,University Pl & E 8 St,40.731,-73.995,770.0,781.0
131,8 Ave & W 52 St,40.764,-73.985,768.0,757.0
132,Washington Square E,40.73,-73.996,764.0,790.0
133,Allen St & Stanton St,40.722,-73.989,764.0,779.0
134,E 20 St & Park Ave,40.738,-73.988,760.0,788.0
135,Central Park W & W 91 St,40.789,-73.967,750.0,730.0
136,Wythe Ave & Metropolitan Ave,40.717,-73.963,749.0,751.0
137,Allen St & Hester St,40.716,-73.992,749.0,770.0
138,Broadway & W 53 St,40.763,-73.983,749.0,660.0
139,Metropolitan Ave & Bedford Ave,40.715,-73.96,747.0,754.0
140,E 41 St & Madison Ave (SE corner),40.752,-73.98,747.0,648.0
141,W 50 St & 10 Ave,40.765,-73.992,746.0,659.0
142,Hanson Pl & Ashland Pl,40.685,-73.978,746.0,757.0
143,10 Ave & W 14 St,40.742,-74.008,741.0,809.0
144,11 Ave & W 27 St,40.751,-74.005,740.0,749.0
145,1 Ave & E 30 St,40.741,-73.975,739.0,741.0
146,W 13 St & 7 Ave,40.738,-74.0,737.0,748.0
147,W 59 St & 10 Ave,40.771,-73.988,736.0,735.0
148,W 67 St & Broadway,40.775,-73.983,735.0,746.0
149,W 54 St & 9 Ave,40.766,-73.987,734.0,715.0
150,W 47 St & 10 Ave,40.763,-73.993,733.0,730.0
151,W 70 St & Amsterdam Ave,40.777,-73.983,720.0,652.0
152,North Moore St & Greenwich St,40.72,-74.01,719.0,742.0
153,E 19 St & 3 Ave,40.736,-73.985,716.0,727.0
154,5 Ave & E 87 St,40.782,-73.96,716.0,715.0
